period_end,business_unit_id,business_unit_name,forecast_revenue_usd_m,forecast_ebitda_usd_m,forecast_fcf_usd_m,budget_revenue_usd_m,budget_ebitda_usd_m,budget_fcf_usd_m,revenue_vs_budget_pct,ebitda_vs_budget_pct,fcf_vs_budget_pct,forecast_budget_status,revenue_model,ebitda_model,fcf_model
2026-07-31,BU02,Consumer Brands,620.24,116.78,22.87,606.44,115.59,7.68,0.022762813726432733,0.010295008218704143,1.9775857547156597,Normal,Exponential Smoothing,Moving Average,Exponential Smoothing
2026-08-31,BU02,Consumer Brands,634.68,116.78,98.86,621.72,118.84,92.39,0.020850133700054133,-0.01733423089868721,0.07002309530659075,Normal,Exponential Smoothing,Moving Average,Exponential Smoothing
2026-09-30,BU02,Consumer Brands,667.54,116.78,29.79,663.12,128.0,22.69,0.006659755881437761,-0.08765624999999988,0.31295685945236834,Warning,Exponential Smoothing,Moving Average,Exponential Smoothing
2026-10-31,BU02,Consumer Brands,735.18,116.78,-44.82,737.45,147.57,-55.09,-0.003082748407748981,-0.2086467439181404,0.18635000683789377,Critical,Exponential Smoothing,Moving Average,Exponential Smoothing
2026-11-30,BU02,Consumer Brands,819.79,116.78,-1.43,831.99,171.27,-22.12,-0.01466276916026729,-0.31815262451100595,0.9352831033197159,Critical,Exponential Smoothing,Moving Average,Exponential Smoothing
2026-12-31,BU02,Consumer Brands,834.09,116.78,-19.04,848.34,176.39,-52.46,-0.016793942282163514,-0.3379443279097453,0.6369848688088722,Critical,Exponential Smoothing,Moving Average,Exponential Smoothing
2026-01-31,BU03,HealthTech Solutions,531.52,131.78,70.96,531.62,132.26,89.65,-0.0001861999882247429,-0.0036571597184473096,-0.2085287636350419,Normal,Exponential Smoothing,Exponential Smoothing,Exponential Smoothing
2026-02-28,BU03,HealthTech Solutions,530.81,131.1,45.19,534.53,132.5,31.45,-0.006950080225260409,-0.010563882343930955,0.4368444534286549,Normal,Exponential Smoothing,Exponential Smoothing,Exponential Smoothing
2026-03-31,BU03,HealthTech Solutions,548.4,137.46,37.34,553.74,139.36,30.25,-0.009649578327461921,-0.013631798070980347,0.23452852515849554,Normal,Exponential Smoothing,Exponential Smoothing,Exponential Smoothing
2026-04-30,BU03,HealthTech Solutions,541.15,134.94,70.91,545.87,135.88,77.65,-0.008651977551997135,-0.006945555080652175,-0.08685403748332411,Normal,Exponential Smoothing,Exponential Smoothing,Exponential Smoothing
2026-05-31,BU03,HealthTech Solutions,537.51,132.72,34.74,543.37,135.71,67.16,-0.010783631279890616,-0.02203048297682647,-0.4826642056260015,Normal,Exponential Smoothing,Exponential Smoothing,Exponential Smoothing
2026-06-30,BU03,HealthTech Solutions,544.94,135.6,108.83,551.86,138.41,73.96,-0.012531702680062382,-0.020271496277629995,0.471425108051188,Normal,Exponential Smoothing,Exponential Smoothing,Exponential Smoothing
2026-07-31,BU03,HealthTech Solutions,538.58,133.07,60.67,546.58,135.95,57.16,-0.014632568027306529,-0.02121202165457192,0.06133109729003548,Normal,Exponential Smoothing,Exponential Smoothing,Exponential Smoothing
2026-08-31,BU03,HealthTech Solutions,547.23,134.36,79.57,552.36,137.46,81.78,-0.009279438850166593,-0.022579434368212095,-0.02702055922844041,Normal,Exponential Smoothing,Exponential Smoothing,Exponential Smoothing
2026-09-30,BU03,HealthTech Solutions,555.5,138.31,55.72,569.41,141.34,48.04,-0.024426949610112363,-0.021450248323852398,0.15991669352033686,Normal,Exponential Smoothing,Exponential Smoothing,Exponential Smoothing
2026-10-31,BU03,HealthTech Solutions,557.55,138.91,61.23,569.71,142.31,49.64,-0.021349620093472785,-0.023875639477047135,0.23351539592419135,Normal,Exponential Smoothing,Exponential Smoothing,Exponential Smoothing
2026-11-30,BU03,HealthTech Solutions,559.13,139.03,70.36,572.83,142.9,67.2,-0.023917349106314996,-0.027094040592559668,0.04695645350352691,Normal,Exponential Smoothing,Exponential Smoothing,Exponential Smoothing
2026-12-31,BU03,HealthTech Solutions,559.13,138.51,62.02,570.27,142.02,61.43,-0.019529492953032003,-0.024684661443067524,0.009628678384635379,Normal,Exponential Smoothing,Exponential Smoothing,Exponential Smoothing
2026-01-31,BU04,Industrial Systems,524.82,97.16,129.0,487.26,94.65,152.05,0.0770943644050403,0.02649234020073934,-0.1515675643217199,Normal,Moving Average,Moving Average,Exponential Smoothing
2026-02-28,BU04,Industrial Systems,524.82,97.16,104.14,504.9,98.29,68.22,0.03946326005149526,-0.011522026655814503,0.5265352911807167,Normal,Moving Average,Moving Average,Exponential Smoothing
2026-03-31,BU04,Industrial Systems,524.82,97.16,-75.98,549.58,109.98,-109.53,-0.04504348775428529,-0.1165893798872524,0.3063160498444349,Warning,Moving Average,Moving Average,Exponential Smoothing
2026-04-30,BU04,Industrial Systems,524.82,97.16,35.17,556.7,111.45,29.24,-0.0572570504760196,-0.12824136384028728,0.20295110338458747,Warning,Moving Average,Moving Average,Exponential Smoothing
2026-05-31,BU04,Industrial Systems,524.82,97.16,-18.07,563.86,113.36,-42.01,-0.06922817720710829,-0.14292960479887099,0.5699069616310175,Warning,Moving Average,Moving Average,Exponential Smoothing
2026-06-30,BU04,Industrial Systems,524.82,97.16,60.79,571.05,114.15,57.26,-0.08094737763768502,-0.14886114761279037,0.06166459037257479,Warning,Moving Average,Moving Average,Exponential Smoothing
2026-07-31,BU04,Industrial Systems,524.82,97.16,-10.3,534.65,103.27,-29.37,-0.018376507995885454,-0.059189503243923934,0.6492762921895257,Normal,Moving Average,Moving Average,Exponential Smoothing
2026-08-31,BU04,Industrial Systems,524.82,97.16,151.66,530.85,100.43,143.06,-0.011349722143731922,-0.03258488499452377,0.06012756644481041,Normal,Moving Average,Moving Average,Exponential Smoothing
2026-09-30,BU04,Industrial Systems,524.82,97.16,72.78,581.91,114.98,69.29,-0.09809936244436432,-0.15500521829883473,0.05039373813647503,Critical,Moving Average,Moving Average,Exponential Smoothing
2026-10-31,BU04,Industrial Systems,524.82,97.16,-48.09,578.21,113.12,-88.87,-0.09232804690337439,-0.1411112093352194,0.4588858033730216,Warning,Moving Average,Moving Average,Exponential Smoothing
2026-11-30,BU04,Industrial Systems,524.82,97.16,48.5,557.92,106.52,59.36,-0.0593185402925153,-0.08789429215170871,-0.1830275462946884,Warning,Moving Average,Moving Average,Exponential Smoothing
2026-12-31,BU04,Industrial Systems,524.82,97.16,30.76,520.88,97.39,19.5,0.007573721394562925,-0.002387308758599609,0.5772526640118281,Normal,Moving Average,Moving Average,Exponential Smoothing
2026-01-31,BU05,FinTech Platforms,503.35,159.31,83.49,463.89,154.98,141.83,0.0850662786449313,0.02796112403226561,-0.4113486562551411,Normal,Exponential Smoothing,Exponential Smoothing,Moving Average
2026-02-28,BU05,FinTech Platforms,514.98,163.74,83.49,475.44,157.71,63.4,0.08315893380673088,0.038250626057298016,0.31685205178759174,Normal,Exponential Smoothing,Exponential Smoothing,Moving Average
2026-03-31,BU05,FinTech Platforms,539.68,173.54,83.49,512.86,172.01,117.74,0.0522865200310118,0.008880394008449833,-0.2909086114885908,Normal,Exponential Smoothing,Exponential Smoothing,Moving Average
2026-04-30,BU05,FinTech Platforms,535.14,171.39,83.49,509.64,169.62,86.66,0.05002926825515366,0.01043052754036432,-0.03659796811293183,Normal,Exponential Smoothing,Exponential Smoothing,Moving Average
2026-05-31,BU05,FinTech Platforms,545.71,174.5,83.49,522.05,172.71,101.23,0.04533059968888883,0.010377407022757988,-0.17526009993743621,Normal,Exponential Smoothing,Exponential Smoothing,Moving Average
2026-06-30,BU05,FinTech Platforms,565.23,181.27,83.49,550.73,184.68,65.76,0.026323784184568485,-0.018471032742005015,0.26959276282441175,Normal,Exponential Smoothing,Exponential Smoothing,Moving Average
2026-07-31,BU05,FinTech Platforms,562.2,180.6,83.49,542.17,179.94,115.29,0.0369474167581842,0.0036798690444765775,-0.27583988131378856,Normal,Exponential Smoothing,Exponential Smoothing,Moving Average
2026-08-31,BU05,FinTech Platforms,573.28,185.49,83.49,555.27,183.72,92.61,0.03243271952906234,0.009631953469100113,-0.09849454612532854,Normal,Exponential Smoothing,Exponential Smoothing,Moving Average
2026-09-30,BU05,FinTech Platforms,583.56,184.71,83.49,568.6,183.36,78.89,0.026301895346135116,0.00735920613906883,0.05828901107026649,Normal,Exponential Smoothing,Exponential Smoothing,Moving Average
2026-10-31,BU05,FinTech Platforms,595.26,194.22,83.49,587.87,193.5,106.83,0.01257758461041523,0.003726369553719545,-0.21849274470342295,Normal,Exponential Smoothing,Exponential Smoothing,Moving Average
2026-11-30,BU05,FinTech Platforms,619.3,204.55,83.49,619.02,208.21,87.73,0.00044461432633290587,-0.01760106078168002,-0.0483481125802652,Normal,Exponential Smoothing,Exponential Smoothing,Moving Average
2026-12-31,BU05,FinTech Platforms,633.5,209.46,83.49,639.29,215.16,128.1,-0.009060304657032016,-0.02650595922644685,-0.3482558931824096,Normal,Exponential Smoothing,Exponential Smoothing,Moving Average
