performance_id,period_end,business_unit_id,region,currency_code,revenue_usd_m,cogs_usd_m,operating_expense_usd_m,depreciation_amortization_usd_m,capex_usd_m,effective_tax_rate,financial_outlier_flag,balance_id,cash_usd_m,accounts_receivable_usd_m,inventory_usd_m,accounts_payable_usd_m,net_fixed_assets_usd_m,total_debt_usd_m,balance_outlier_flag,year,ebitda_usd_m,ebitda_margin,ebit_usd_m,nopat_usd_m,net_working_capital_usd_m,invested_capital_usd_m,net_debt_usd_m,change_nwc_usd_m,free_cash_flow_usd_m,revenue_growth_yoy,ttm_nopat_usd_m,ttm_ebitda_usd_m,avg_invested_capital_usd_m,wacc,roic,roic_wacc_spread,economic_profit_usd_m,net_debt_to_ebitda,value_creation_flag
FP_202111_BU01_APAC,2021-11-30,BU01,Asia Pacific,USD,123.45,48.97,35.64,5.85,7.27,0.2264,0,BS_202111_BU01_APAC,77.56,204.41,3.26,68.84,709.65,885.88,0,2021,38.84,0.31462130417172945,32.99,25.521064000000003,138.82999999999998,848.48,808.3199999999999,13.039999999999992,11.061064000000012,,,,,0.091,,,,,Not Available
FP_202112_BU01_APAC,2021-12-31,BU01,Asia Pacific,USD,127.94,50.45,37.07,5.92,7.9,0.2192,0,BS_202112_BU01_APAC,79.33,207.95,3.28,68.92,711.63,897.88,0,2021,40.419999999999995,0.31592934187900573,34.49999999999999,26.937599999999993,142.31,853.94,818.55,3.480000000000018,21.477599999999974,,275.653645,422.21,829.6291666666666,0.091,0.3322612753690153,0.2412612753690153,200.15739083333332,1.9387271736813434,Strong Creator
FP_202201_BU01_APAC,2022-01-31,BU01,Asia Pacific,USD,121.6,48.1,35.5,5.99,7.81,0.2196,0,BS_202201_BU01_APAC,80.17,198.64,3.21,65.4,713.45,915.12,0,2022,38.0,0.3125,32.01,24.980604,136.45,849.9000000000001,834.95,-5.860000000000014,29.020604000000016,0.20958917735999205,280.939834,429.69,833.2775000000001,0.098,0.33715038987612167,0.23915038987612167,199.278639,1.9431450580651168,Strong Creator
FP_202202_BU01_APAC,2022-02-28,BU01,Asia Pacific,USD,119.6,47.62,35.81,6.06,7.69,0.2252,0,BS_202202_BU01_APAC,79.6,215.07,3.4,72.17,715.08,928.03,0,2022,36.16999999999999,0.3024247491638795,30.10999999999999,23.32922799999999,146.3,861.3800000000001,848.43,9.850000000000023,11.849227999999965,0.15913936809459184,283.45620199999996,433.74,836.9441666666667,0.098,0.33867994221040226,0.24067994221040226,201.43567366666662,1.9560796790704107,Strong Creator
FP_202203_BU01_APAC,2022-03-31,BU01,Asia Pacific,USD,130.18,51.98,37.78,6.14,8.77,0.2267,0,BS_202203_BU01_APAC,78.49,212.39,3.36,70.94,717.71,940.94,0,2022,40.420000000000016,0.3104931633123369,34.280000000000015,26.50872400000001,144.81,862.52,862.45,-1.490000000000009,25.368724000000018,0.18723210214318287,287.63293799999997,439.89,840.7541666666667,0.098,0.34211300925260546,0.24411300925260546,205.23902966666662,1.9606037873104643,Strong Creator
FP_202204_BU01_APAC,2022-04-30,BU01,Asia Pacific,USD,130.84,52.41,37.62,6.22,9.05,0.2251,0,BS_202204_BU01_APAC,77.24,216.41,3.46,73.26,720.54,956.9,0,2022,40.81000000000001,0.3119076734943443,34.59000000000001,26.80379100000001,146.61,867.15,879.66,1.8000000000000114,22.173790999999998,0.19346894098330747,292.744961,447.22,844.3091666666668,0.098,0.3467272091285676,0.24872720912856758,210.00266266666665,1.966951388578328,Strong Creator
FP_202205_BU01_APAC,2022-05-31,BU01,Asia Pacific,USD,127.85,51.36,37.98,6.3,8.57,0.2315,0,BS_202205_BU01_APAC,76.21,205.48,3.3,69.1,722.81,965.59,0,2022,38.51,0.30121235823230347,32.21,24.753384999999998,139.68,862.49,889.38,-6.930000000000007,29.413385000000005,0.14942012047109587,295.109516,451.4,847.3858333333333,0.098,0.34825873219892944,0.25025873219892947,212.06570433333331,1.9702702702702704,Strong Creator
FP_202206_BU01_APAC,2022-06-30,BU01,Asia Pacific,USD,133.82,53.46,39.04,6.38,9.21,0.2246,0,BS_202206_BU01_APAC,76.17,220.46,3.45,74.72,725.64,975.13,0,2022,41.319999999999986,0.3087729786280077,34.93999999999998,27.092475999999987,149.19,874.8299999999999,898.96,9.509999999999991,14.752475999999994,0.1358003734510269,297.616112,455.74,850.7075,0.098,0.34984540749905224,0.25184540749905227,214.24677699999998,1.9725281959011718,Strong Creator
FP_202207_BU01_APAC,2022-07-31,BU01,Asia Pacific,USD,126.67,50.7,37.69,6.46,8.39,0.2231,0,BS_202207_BU01_APAC,77.41,204.02,3.24,68.21,727.57,983.02,0,2022,38.28,0.3022025736164838,31.82,24.720958000000003,139.05,866.6200000000001,905.61,-10.139999999999986,32.93095799999999,0.14147967919257454,300.203374,459.69,853.8816666666667,0.098,0.351574914556857,0.253574914556857,216.52297066666665,1.970045030346538,Strong Creator
FP_202208_BU01_APAC,2022-08-31,BU01,Asia Pacific,USD,129.17,51.41,38.09,6.54,8.53,0.2275,0,BS_202208_BU01_APAC,80.01,207.99,3.28,69.54,729.56,997.75,0,2022,39.66999999999999,0.30711465510567465,33.12999999999999,25.59292499999999,141.73000000000002,871.29,917.74,2.680000000000007,20.922924999999985,0.16758564584651525,304.28495899999996,465.87,857.5108333333333,0.098,0.3548467811388194,0.2568467811388194,220.24889733333328,1.9699486981346728,Strong Creator
FP_202209_BU01_APAC,2022-09-30,BU01,Asia Pacific,USD,142.37,56.84,41.23,6.62,8.97,0.227,0,BS_202209_BU01_APAC,83.62,232.71,3.61,79.64,731.91,1013.72,0,2022,44.300000000000004,0.3111610592119126,37.68000000000001,29.126640000000005,156.68,888.5899999999999,930.1,14.949999999999989,11.826640000000019,0.18031835516498096,308.42783399999996,472.31,861.7674999999999,0.098,0.35790144557551773,0.25990144557551775,223.97461899999996,1.9692574791979844,Strong Creator
FP_202210_BU01_APAC,2022-10-31,BU01,Asia Pacific,USD,135.49,53.74,39.99,6.7,8.24,0.2241,0,BS_202210_BU01_APAC,87.32,217.61,3.48,72.42,733.45,1024.28,0,2022,41.76,0.3082146283858587,35.059999999999995,27.203053999999998,148.67000000000002,882.1200000000001,936.96,-8.009999999999991,33.673053999999986,0.17358163707232577,312.570449,478.5,865.7758333333335,0.098,0.36102930685483436,0.2630293068548344,227.7244173333333,1.9581191222570533,Strong Creator
FP_202211_BU01_APAC,2022-11-30,BU01,Asia Pacific,USD,137.39,54.49,40.22,6.78,8.51,0.2275,0,BS_202211_BU01_APAC,90.16,233.3,3.67,77.39,735.18,1036.94,0,2022,42.67999999999998,0.3106485188150519,35.89999999999998,27.73274999999998,159.57999999999998,894.76,946.7800000000001,10.909999999999968,15.092750000000017,0.11292021061158342,314.782135,482.3399999999999,869.6325,0.098,0.36197144770923345,0.2639714477092334,229.55814999999996,1.9628892482481242,Strong Creator
FP_202212_BU01_APAC,2022-12-31,BU01,Asia Pacific,USD,148.54,58.64,42.51,6.86,9.05,0.2204,0,BS_202212_BU01_APAC,92.3,240.76,3.79,80.14,737.37,1052.02,0,2022,47.38999999999999,0.3190386427898209,40.529999999999994,31.597187999999992,164.40999999999997,901.78,959.72,4.829999999999984,24.57718800000001,0.16101297483195243,319.44172299999997,489.30999999999995,873.6191666666667,0.098,0.36565329057379115,0.26765329057379117,233.8270446666666,1.9613741799677098,Strong Creator
FP_202301_BU01_APAC,2023-01-31,BU01,Asia Pacific,USD,137.63,54.15,40.83,6.95,8.78,0.2235,0,BS_202301_BU01_APAC,92.77,233.13,3.63,75.16,739.2,1065.03,0,2023,42.64999999999999,0.30988883237666204,35.69999999999999,27.72104999999999,161.6,900.8000000000001,972.26,-2.809999999999974,28.701049999999967,0.13182565789473677,322.18216899999993,493.96,877.8608333333333,0.104,0.3670082509281558,0.26300825092815583,230.88464233333326,1.9682970280994414,Strong Creator
FP_202302_BU01_APAC,2023-02-28,BU01,Asia Pacific,USD,138.74,55.09,41.73,7.03,8.97,0.2234,0,BS_202302_BU01_APAC,92.12,245.51,3.94,82.86,741.14,1078.59,0,2023,41.92000000000001,0.3021479025515353,34.89000000000001,27.095574000000003,166.58999999999997,907.73,986.4699999999999,4.989999999999981,20.16557400000002,0.16003344481605364,325.948515,499.71,881.7233333333334,0.104,0.36967209857967537,0.2656720985796754,234.2492883333333,1.9740849692821836,Strong Creator
FP_202303_BU01_APAC,2023-03-31,BU01,Asia Pacific,USD,150.05,60.15,43.42,7.12,10.1,0.2228,0,BS_202303_BU01_APAC,90.63,247.2,3.89,82.56,744.12,1091.11,0,2023,46.480000000000004,0.3097634121959347,39.36000000000001,30.590592000000004,168.52999999999997,912.65,1000.4799999999999,1.9399999999999977,25.670592000000006,0.15263481333538187,330.030383,505.7699999999999,885.9008333333333,0.104,0.3725364855547226,0.2685364855547226,237.89669633333332,1.9781323526504144,Strong Creator
FP_202304_BU01_APAC,2023-04-30,BU01,Asia Pacific,USD,142.67,57.05,41.33,7.21,9.64,0.2278,0,BS_202304_BU01_APAC,88.5,238.12,3.85,79.75,746.55,1100.2,0,2023,44.28999999999999,0.31043667204037284,37.07999999999999,28.63317599999999,162.22,908.77,1011.7,-6.309999999999974,32.513175999999966,0.09041577499235687,331.859768,509.24999999999994,889.3691666666667,0.104,0.37314062645526835,0.2691406264552684,239.36537466666664,1.9866470299459993,Strong Creator
FP_202305_BU01_APAC,2023-05-31,BU01,Asia Pacific,USD,149.97,59.68,43.74,7.3,10.33,0.226,0,BS_202305_BU01_APAC,87.49,238.68,3.82,80.25,749.58,1116.02,0,2023,46.54999999999999,0.3103954124158164,39.24999999999999,30.379499999999997,162.25,911.83,1028.53,0.030000000000001137,27.319499999999998,0.17301525224872893,337.48588299999994,517.29,893.4808333333334,0.104,0.3777203387127311,0.2737203387127311,244.56387633333327,1.9883044327166581,Strong Creator
FP_202306_BU01_APAC,2023-06-30,BU01,Asia Pacific,USD,153.78,60.77,44.38,7.39,10.25,0.2261,0,BS_202306_BU01_APAC,87.53,246.65,3.93,83.64,752.44,1132.56,0,2023,48.62999999999999,0.316230979321108,41.23999999999999,31.915635999999992,166.94,919.3800000000001,1045.03,4.689999999999998,24.365635999999995,0.14915558212524282,342.309043,524.5999999999999,897.1933333333333,0.104,0.3815331994590538,0.2775331994590538,249.0009363333333,1.9920510865421277,Strong Creator
FP_202307_BU01_APAC,2023-07-31,BU01,Asia Pacific,USD,145.2,57.46,43.04,7.49,9.88,0.2284,0,BS_202307_BU01_APAC,88.97,229.08,3.69,76.32,754.83,1143.68,0,2023,44.69999999999998,0.3078512396694214,37.20999999999998,28.711235999999985,156.45000000000002,911.2800000000001,1054.71,-10.48999999999998,36.811235999999965,0.14628562406252454,346.29932099999996,531.02,900.915,0.104,0.38438623066549005,0.28038623066549007,252.60416099999998,1.986196376784302,Strong Creator
FP_202308_BU01_APAC,2023-08-31,BU01,Asia Pacific,USD,146.46,57.86,43.65,7.58,9.85,0.2222,0,BS_202308_BU01_APAC,91.75,232.1,3.69,77.41,757.1,1156.85,0,2023,44.95000000000001,0.30690973644681147,37.37000000000001,29.066386000000012,158.38,915.48,1065.1,1.9299999999999784,24.866386000000034,0.13385461020360778,349.77278199999995,536.3,904.5975,0.104,0.38666122999455554,0.28266122999455556,255.69464199999996,1.986015289949655,Strong Creator
FP_202309_BU01_APAC,2023-09-30,BU01,Asia Pacific,USD,166.12,65.05,47.47,7.67,10.26,0.2255,0,BS_202309_BU01_APAC,95.82,267.3,4.1,90.48,759.69,1177.31,0,2023,53.60000000000001,0.32265831928726224,45.93000000000001,35.572785,180.92000000000002,940.6100000000001,1081.49,22.54000000000002,10.442784999999986,0.16681885228629634,356.21892699999995,545.5999999999999,908.9325,0.104,0.39190910986239347,0.2879091098623935,261.68994699999996,1.982203079178886,Strong Creator
FP_202310_BU01_APAC,2023-10-31,BU01,Asia Pacific,USD,164.98,64.77,47.43,7.77,10.28,0.2269,0,BS_202310_BU01_APAC,100.43,264.02,4.11,87.54,762.2,1196.09,0,2023,52.779999999999994,0.3199175657655473,45.00999999999999,34.797231,180.58999999999997,942.79,1095.6599999999999,-0.3300000000000409,32.61723100000003,0.217654439442025,363.81310399999995,556.6199999999999,913.9883333333333,0.104,0.3980500524259062,0.2940500524259062,268.7583173333333,1.9684165139592542,Strong Creator
FP_202311_BU01_APAC,2023-11-30,BU01,Asia Pacific,USD,167.27,66.02,48.0,7.86,10.19,0.2275,0,BS_202311_BU01_APAC,104.5,271.76,4.38,91.45,764.53,1213.03,0,2023,53.250000000000014,0.3183475817540504,45.390000000000015,35.06377500000001,184.69,949.22,1108.53,4.100000000000023,28.633774999999986,0.21748307737098793,371.14412899999996,567.19,918.5266666666666,0.104,0.40406462051546316,0.3000646205154632,275.61735566666664,1.9544244433082387,Strong Creator
FP_202312_BU01_APAC,2023-12-31,BU01,Asia Pacific,USD,177.41,70.05,51.43,7.96,11.39,0.2247,0,BS_202312_BU01_APAC,107.26,277.01,4.52,93.49,767.96,1226.33,0,2023,55.93,0.3152584408996111,47.97,37.191141,188.03999999999996,956.0,1119.07,3.349999999999966,30.411141000000036,0.1943584219738792,376.73808199999996,575.73,923.0450000000001,0.104,0.40814703725170487,0.3041470372517049,280.741402,1.9437409897000328,Strong Creator
FP_202401_BU01_APAC,2024-01-31,BU01,Asia Pacific,USD,163.72,64.21,47.48,8.07,11.93,0.2278,0,BS_202401_BU01_APAC,108.25,264.8,4.31,86.6,771.82,1244.48,0,2024,52.03000000000001,0.31779868067432204,43.96000000000001,33.94591200000001,182.51000000000002,954.33,1136.23,-5.529999999999944,35.61591199999995,0.18956622829324998,382.962944,585.11,927.5058333333333,0.101,0.41289545600342137,0.3118954560034214,289.2848548333333,1.941908359111962,Strong Creator
FP_202402_BU01_APAC,2024-02-29,BU01,Asia Pacific,USD,162.14,63.94,48.46,8.18,12.59,0.2213,0,BS_202402_BU01_APAC,107.55,281.43,4.48,93.25,776.23,1261.89,0,2024,49.73999999999999,0.30677192549648447,41.55999999999999,32.362771999999985,192.66000000000003,968.8900000000001,1154.3400000000001,10.150000000000006,17.80277199999998,0.1686608043822977,388.230142,592.93,932.6025,0.101,0.4162868338868918,0.3152868338868918,294.0372895,1.946840267822509,Strong Creator
FP_202403_BU01_APAC,2024-03-31,BU01,Asia Pacific,USD,174.34,68.71,50.7,8.31,14.2,0.2277,0,BS_202403_BU01_APAC,105.87,277.1,4.47,92.44,782.12,1274.63,0,2024,54.93000000000001,0.3150739933463348,46.620000000000005,36.004626,189.13000000000005,971.25,1168.7600000000002,-3.5299999999999727,33.644625999999974,0.16187937354215265,393.64417599999996,601.38,937.4858333333335,0.101,0.41989346612348794,0.3188934661234879,298.95810683333326,1.9434633675878816,Strong Creator
FP_202404_BU01_APAC,2024-04-30,BU01,Asia Pacific,USD,178.22,69.75,51.86,8.44,14.43,0.2255,0,BS_202404_BU01_APAC,104.55,292.8,4.64,97.36,788.11,1294.34,0,2024,56.61,0.3176411177196723,48.17,37.307665,200.07999999999998,988.19,1189.79,10.949999999999932,20.367665000000066,0.24917642111165628,402.318665,613.6999999999999,944.1041666666666,0.101,0.4261380038396187,0.32513800383961866,306.96414416666664,1.9387159850089621,Strong Creator
FP_202405_BU01_APAC,2024-05-31,BU01,Asia Pacific,USD,177.93,70.35,51.38,8.57,14.49,0.2304,0,BS_202405_BU01_APAC,103.45,285.69,4.54,94.87,794.03,1306.33,0,2024,56.20000000000001,0.31585454954195474,47.63000000000001,36.65604800000001,195.36,989.39,1202.8799999999999,-4.71999999999997,35.45604799999998,0.18643728745749155,408.595213,623.35,950.5675000000001,0.101,0.4298434493079134,0.3288434493079134,312.5878955,1.929702414373947,Strong Creator
FP_202406_BU01_APAC,2024-06-30,BU01,Asia Pacific,USD,200.28,78.7,57.17,8.71,15.73,0.2288,0,BS_202406_BU01_APAC,104.67,321.89,5.02,109.16,801.05,1333.93,0,2024,64.41,0.3215997603355302,55.699999999999996,42.955839999999995,217.74999999999997,1018.8,1229.26,22.389999999999958,13.545840000000041,0.3023800234100664,419.63541699999996,639.13,958.8525,0.101,0.43764334660440474,0.33664334660440476,322.79131449999994,1.9233332811791028,Strong Creator
FP_202407_BU01_APAC,2024-07-31,BU01,Asia Pacific,USD,188.15,73.83,55.18,8.78,15.16,0.2265,0,BS_202407_BU01_APAC,107.48,299.95,4.71,98.9,807.43,1354.05,0,2024,59.14000000000001,0.31432367791655597,50.36000000000001,38.95346000000001,205.75999999999996,1013.1899999999999,1246.57,-11.990000000000009,44.56346000000002,0.2957988980716255,429.877641,653.57,967.3450000000001,0.101,0.4443891693242844,0.3433891693242844,332.175796,1.9073243875942896,Strong Creator
FP_202408_BU01_APAC,2024-08-31,BU01,Asia Pacific,USD,187.87,73.44,54.89,8.76,14.53,0.2251,0,BS_202408_BU01_APAC,111.93,303.59,4.7,99.33,813.2,1380.47,0,2024,59.540000000000006,0.31692127534997605,50.78000000000001,39.34942200000001,208.95999999999998,1022.1600000000001,1268.54,3.200000000000017,30.37942199999999,0.28273931448859746,440.1606770000001,668.1600000000001,976.2350000000001,0.101,0.4508757389358095,0.3498757389358095,341.56094200000007,1.898557231800766,Strong Creator
FP_202409_BU01_APAC,2024-09-30,BU01,Asia Pacific,USD,204.01,80.37,59.16,8.75,15.28,0.2243,0,BS_202409_BU01_APAC,117.38,332.93,5.09,112.23,819.73,1401.47,0,2024,64.47999999999999,0.31606293809127,55.72999999999999,43.229760999999996,225.78999999999996,1045.52,1284.0900000000001,16.829999999999984,19.86976100000001,0.22808812906332765,447.81765300000006,679.0400000000001,984.9775,0.101,0.4546475965187023,0.35364759651870226,348.33492550000005,1.8910373468426014,Strong Creator
FP_202410_BU01_APAC,2024-10-31,BU01,Asia Pacific,USD,202.66,80.12,58.73,8.74,14.81,0.224,0,BS_202410_BU01_APAC,123.12,322.24,5.07,107.67,825.8,1417.35,0,2024,63.809999999999995,0.31486233099773014,55.06999999999999,42.73432,219.64,1045.44,1294.23,-6.149999999999977,42.814319999999974,0.2283913201600194,455.754742,690.07,993.5316666666666,0.101,0.45872190820960246,0.3577219082096025,355.4080436666667,1.8755053835118176,Strong Creator
FP_202411_BU01_APAC,2024-11-30,BU01,Asia Pacific,USD,214.78,84.28,61.67,8.74,15.83,0.2243,0,BS_202411_BU01_APAC,128.74,356.4,5.51,118.68,832.89,1448.64,0,2024,68.83,0.3204674550703045,60.089999999999996,46.611813,243.22999999999996,1076.12,1319.9,23.589999999999975,15.931813000000027,0.2840318048663837,467.30278,705.65,1004.1066666666667,0.101,0.4653915719445477,0.36439157194454774,365.8880066666666,1.870474031035216,Strong Creator
FP_202412_BU01_APAC,2024-12-31,BU01,Asia Pacific,USD,224.6,87.93,64.01,8.75,16.92,0.225,0,BS_202412_BU01_APAC,132.81,357.79,5.64,118.81,841.06,1479.87,0,2024,72.65999999999998,0.3235084594835262,63.90999999999998,49.53024999999999,244.62,1085.6799999999998,1347.06,1.3900000000000432,39.97024999999994,0.26599402513950743,479.641889,722.38,1014.9133333333333,0.101,0.47259393807024574,0.37159393807024577,377.1356423333333,1.8647526232730696,Strong Creator
FP_202501_BU01_APAC,2025-01-31,BU01,Asia Pacific,USD,208.64,81.55,61.28,8.76,15.98,0.2246,0,BS_202501_BU01_APAC,134.77,337.1,5.45,109.97,848.28,1476.81,0,2025,65.80999999999999,0.31542369631901834,57.04999999999999,44.23656999999999,232.58,1080.86,1342.04,-12.039999999999992,49.05656999999998,0.27437087710725616,489.932547,736.16,1025.4575,0.099,0.4777697242450321,0.3787697242450321,388.4122545,1.8230276026950663,Strong Creator
FP_202502_BU01_APAC,2025-02-28,BU01,Asia Pacific,USD,215.24,83.82,63.13,8.78,16.89,0.2252,0,BS_202502_BU01_APAC,135.26,383.98,5.97,126.99,856.39,1500.72,0,2025,68.29000000000002,0.3172737409403457,59.51000000000002,46.108348000000014,262.96000000000004,1119.35,1365.46,30.380000000000024,7.61834799999999,0.3274947576168745,503.678123,754.71,1037.9958333333332,0.099,0.48524098731931337,0.38624098731931333,400.9165355,1.809251235573929,Strong Creator
FP_202503_BU01_APAC,2025-03-31,BU01,Asia Pacific,USD,238.53,93.46,67.93,8.81,19.08,0.2274,0,BS_202503_BU01_APAC,135.01,384.97,6.05,127.2,866.66,1529.4,0,2025,77.13999999999999,0.32339747620844334,68.32999999999998,52.79175799999999,263.82000000000005,1130.48,1394.39,0.8600000000000136,41.66175799999998,0.3681885969943788,520.4652550000001,776.92,1051.265,0.099,0.4950847360085231,0.3960847360085231,416.39002000000005,1.794766513926788,Strong Creator
FP_202504_BU01_APAC,2025-04-30,BU01,Asia Pacific,USD,227.09,89.37,66.08,8.85,18.22,0.2297,0,BS_202504_BU01_APAC,133.52,382.02,6.06,125.66,876.03,1602.66,0,2025,71.64,0.31546963758862123,62.79,48.367137,262.41999999999996,1138.4499999999998,1469.14,-1.400000000000091,40.39713700000009,0.2742116485242958,531.524727,791.95,1063.7866666666666,0.099,0.4996534960017046,0.40065349600170463,426.20984699999997,1.8550918618599659,Strong Creator
FP_202505_BU01_APAC,2025-05-31,BU01,Asia Pacific,USD,236.13,92.57,69.96,8.89,18.96,0.2246,0,BS_202505_BU01_APAC,133.29,373.74,6.01,123.97,886.1,1702.64,0,2025,73.60000000000001,0.3116927116418922,64.71000000000001,50.176134000000005,255.78,1141.88,1569.3500000000001,-6.639999999999958,46.74613399999996,0.32709492497049397,545.044813,809.35,1076.4941666666666,0.099,0.5063146925242666,0.40731469252426666,438.4718905,1.9390251436337802,Strong Creator
FP_202506_BU01_APAC,2025-06-30,BU01,Asia Pacific,USD,244.83,95.43,71.59,8.94,19.15,0.2264,0,BS_202506_BU01_APAC,134.07,380.94,6.23,129.1,896.31,1814.26,0,2025,77.81,0.31781235959645465,68.87,53.27783200000001,258.07000000000005,1154.38,1680.19,2.290000000000049,40.77783199999996,0.2224385859796285,555.366805,822.75,1087.7925,0.099,0.5105448005938632,0.4115448005938632,447.6753475,2.042163476147068,Strong Creator
FP_202507_BU01_APAC,2025-07-31,BU01,Asia Pacific,USD,234.7,91.1,70.43,9.05,19.13,0.2275,0,BS_202507_BU01_APAC,137.23,368.64,5.87,120.88,906.39,1934.65,0,2025,73.16999999999999,0.3117596932253941,64.11999999999999,49.53269999999999,253.63,1160.02,1797.42,-4.440000000000055,43.89270000000005,0.24740898219505714,565.9460449999999,836.78,1100.0283333333332,0.099,0.5144831527066727,0.4154831527066727,457.0432399999999,2.148019790147948,Strong Creator
FP_202508_BU01_APAC,2025-08-31,BU01,Asia Pacific,USD,245.82,95.75,72.53,9.23,19.15,0.2236,0,BS_202508_BU01_APAC,143.18,382.05,6.03,127.13,916.31,2065.13,0,2025,77.53999999999999,0.31543405744040354,68.30999999999999,53.03588399999999,260.95,1177.26,1921.95,7.319999999999993,35.795883999999994,0.3084579762601798,579.6325069999999,854.78,1112.9533333333331,0.099,0.5208057603493408,0.4218057603493408,469.45012699999995,2.248473291373219,Strong Creator
FP_202509_BU01_APAC,2025-09-30,BU01,Asia Pacific,USD,264.91,103.9,77.26,9.41,20.13,0.2243,0,BS_202509_BU01_APAC,150.83,428.38,6.54,144.41,927.03,2218.84,0,2025,83.75000000000001,0.3161451058850176,74.34000000000002,57.66553800000002,290.51,1217.54,2068.01,29.560000000000002,17.385538000000025,0.29851477868731946,594.0682840000001,874.05,1127.2883333333332,0.099,0.5269887627093336,0.4279887627093336,482.4667390000001,2.3660088095646707,Strong Creator
