balance_id,period_end,business_unit_id,region,currency_code,cash_usd_m,accounts_receivable_usd_m,inventory_usd_m,accounts_payable_usd_m,net_fixed_assets_usd_m,total_debt_usd_m,outlier_flag
BS_202104_BU01_APAC,2021-04-30,BU01,Asia Pacific,USD,65.99,187.39,2.89,62.55,696.76,808.84,0
BS_202104_BU01_EU,2021-04-30,BU01,Europe,USD,55.15,145.55,2.35,52.62,552.56,619.54,0
BS_202104_BU01_LATAM,2021-04-30,BU01,Latin America,USD,21.89,67.37,0.99,23.14,240.67,267.96,0
BS_202104_BU01_NA,2021-04-30,BU01,North America,USD,94.32,227.58,3.92,84.4,914.02,1048.0,0
BS_202104_BU02_APAC,2021-04-30,BU02,Asia Pacific,USD,54.07,173.21,130.41,110.85,898.92,683.93,0
BS_202104_BU02_EU,2021-04-30,BU02,Europe,USD,64.43,186.33,150.49,120.81,1013.97,743.43,0
BS_202104_BU02_LATAM,2021-04-30,BU02,Latin America,USD,27.15,98.39,69.71,66.84,468.08,336.03,0
BS_202104_BU02_NA,2021-04-30,BU02,North America,USD,99.72,250.77,229.05,180.1,1523.06,1130.25,0
BS_202104_BU03_APAC,2021-04-30,BU03,Asia Pacific,USD,46.16,162.82,67.63,67.23,786.14,618.41,0
BS_202104_BU03_EU,2021-04-30,BU03,Europe,USD,59.52,201.7,86.17,85.6,978.76,720.7,0
BS_202104_BU03_LATAM,2021-04-30,BU03,Latin America,USD,17.47,70.77,27.08,30.32,313.15,231.12,0
BS_202104_BU03_NA,2021-04-30,BU03,North America,USD,116.02,357.16,162.52,161.92,1843.21,1388.29,0
BS_202104_BU04_APAC,2021-04-30,BU04,Asia Pacific,USD,48.65,260.87,225.72,153.78,1998.31,1006.94,0
BS_202104_BU04_EU,2021-04-30,BU04,Europe,USD,61.79,313.99,280.75,184.84,2677.53,1224.0,0
BS_202104_BU04_LATAM,2021-04-30,BU04,Latin America,USD,19.62,119.87,98.38,72.82,832.42,402.56,0
BS_202104_BU04_NA,2021-04-30,BU04,North America,USD,79.6,364.89,357.25,240.9,3074.36,1478.79,0
BS_202104_BU05_APAC,2021-04-30,BU05,Asia Pacific,USD,45.3,93.26,0.63,28.71,268.8,477.35,0
BS_202104_BU05_EU,2021-04-30,BU05,Europe,USD,31.4,61.48,0.43,20.73,178.82,303.37,0
BS_202104_BU05_LATAM,2021-04-30,BU05,Latin America,USD,14.46,32.83,0.21,10.52,89.45,150.25,0
BS_202104_BU05_NA,2021-04-30,BU05,North America,USD,65.53,118.44,0.92,42.32,358.01,622.27,0
BS_202105_BU01_APAC,2021-05-31,BU01,Asia Pacific,USD,65.18,185.04,2.82,61.14,698.85,821.27,0
BS_202105_BU01_EU,2021-05-31,BU01,Europe,USD,54.17,141.23,2.31,51.3,554.33,628.98,0
BS_202105_BU01_LATAM,2021-05-31,BU01,Latin America,USD,22.17,67.81,0.99,23.3,241.39,271.33,0
BS_202105_BU01_NA,2021-05-31,BU01,North America,USD,94.74,222.36,3.88,82.95,916.88,1061.76,0
BS_202105_BU02_APAC,2021-05-31,BU02,Asia Pacific,USD,52.92,173.58,132.74,107.12,901.24,688.76,0
BS_202105_BU02_EU,2021-05-31,BU02,Europe,USD,62.55,188.39,151.42,122.41,1016.5,745.18,0
BS_202105_BU02_LATAM,2021-05-31,BU02,Latin America,USD,27.41,99.02,70.24,60.56,469.23,340.13,0
BS_202105_BU02_NA,2021-05-31,BU02,North America,USD,98.99,252.92,232.95,179.95,1527.38,1132.19,0
BS_202105_BU03_APAC,2021-05-31,BU03,Asia Pacific,USD,45.23,155.92,64.65,59.41,788.34,622.47,0
BS_202105_BU03_EU,2021-05-31,BU03,Europe,USD,58.18,197.77,83.99,83.32,981.53,725.1,0
BS_202105_BU03_LATAM,2021-05-31,BU03,Latin America,USD,17.63,67.76,26.26,27.19,314.06,232.75,0
BS_202105_BU03_NA,2021-05-31,BU03,North America,USD,115.6,340.93,156.17,143.96,1847.96,1397.32,0
BS_202105_BU04_APAC,2021-05-31,BU04,Asia Pacific,USD,47.57,267.69,227.22,145.22,2003.57,1017.09,0
BS_202105_BU04_EU,2021-05-31,BU04,Europe,USD,59.88,307.43,274.87,165.63,2681.44,1230.89,0
BS_202105_BU04_LATAM,2021-05-31,BU04,Latin America,USD,19.81,121.7,99.75,68.92,834.84,407.63,0
BS_202105_BU04_NA,2021-05-31,BU04,North America,USD,79.06,364.46,358.03,218.07,3082.19,1492.49,0
BS_202105_BU05_APAC,2021-05-31,BU05,Asia Pacific,USD,44.77,92.12,0.62,28.4,269.69,485.58,0
BS_202105_BU05_EU,2021-05-31,BU05,Europe,USD,30.73,59.52,0.42,20.1,179.42,306.28,0
BS_202105_BU05_LATAM,2021-05-31,BU05,Latin America,USD,14.65,32.25,0.21,10.28,89.7,152.2,0
BS_202105_BU05_NA,2021-05-31,BU05,North America,USD,65.91,114.96,0.88,39.98,359.09,631.92,0
BS_202106_BU01_APAC,2021-06-30,BU01,Asia Pacific,USD,65.38,196.76,2.99,66.13,701.35,835.79,0
BS_202106_BU01_EU,2021-06-30,BU01,Europe,USD,53.05,150.65,2.42,55.25,556.23,637.67,0
BS_202106_BU01_LATAM,2021-06-30,BU01,Latin America,USD,22.91,70.52,1.05,24.77,242.07,276.08,0
BS_202106_BU01_NA,2021-06-30,BU01,North America,USD,94.04,233.96,4.08,88.92,920.17,1079.15,0
BS_202106_BU02_APAC,2021-06-30,BU02,Asia Pacific,USD,52.5,179.14,134.79,108.64,903.45,693.81,0
BS_202106_BU02_EU,2021-06-30,BU02,Europe,USD,60.79,204.36,159.89,143.25,1019.33,749.21,0
BS_202106_BU02_LATAM,2021-06-30,BU02,Latin America,USD,28.07,104.61,74.85,69.51,470.57,343.3,0
BS_202106_BU02_NA,2021-06-30,BU02,North America,USD,97.14,260.68,243.17,196.66,1531.22,1138.2,0
BS_202106_BU03_APAC,2021-06-30,BU03,Asia Pacific,USD,45.01,164.02,66.21,68.69,790.7,627.33,0
BS_202106_BU03_EU,2021-06-30,BU03,Europe,USD,56.8,201.77,84.63,89.65,984.07,730.84,0
BS_202106_BU03_LATAM,2021-06-30,BU03,Latin America,USD,18.08,69.15,26.99,30.15,314.86,234.17,0
BS_202106_BU03_NA,2021-06-30,BU03,North America,USD,113.69,356.48,160.68,167.03,1853.37,1405.8,0
BS_202106_BU04_APAC,2021-06-30,BU04,Asia Pacific,USD,46.82,262.01,222.33,131.4,2008.35,1018.62,0
BS_202106_BU04_EU,2021-06-30,BU04,Europe,USD,58.27,325.3,286.98,205.44,2685.53,1238.06,0
BS_202106_BU04_LATAM,2021-06-30,BU04,Latin America,USD,20.32,123.87,102.56,72.42,837.22,411.87,0
BS_202106_BU04_NA,2021-06-30,BU04,North America,USD,77.49,362.68,360.52,221.18,3089.32,1500.22,0
BS_202106_BU05_APAC,2021-06-30,BU05,Asia Pacific,USD,44.73,96.25,0.64,29.51,270.51,492.11,0
BS_202106_BU05_EU,2021-06-30,BU05,Europe,USD,30.02,62.41,0.44,21.42,179.98,308.57,0
BS_202106_BU05_LATAM,2021-06-30,BU05,Latin America,USD,15.11,33.77,0.22,11.0,89.99,154.73,0
BS_202106_BU05_NA,2021-06-30,BU05,North America,USD,64.96,117.37,0.91,41.84,360.24,635.93,0
BS_202107_BU01_APAC,2021-07-31,BU01,Asia Pacific,USD,66.58,182.67,2.83,60.25,703.28,844.92,0
BS_202107_BU01_EU,2021-07-31,BU01,Europe,USD,52.39,140.78,2.24,50.28,557.5,644.95,0
BS_202107_BU01_LATAM,2021-07-31,BU01,Latin America,USD,23.86,66.08,1.0,22.66,242.59,278.49,0
BS_202107_BU01_NA,2021-07-31,BU01,North America,USD,92.4,212.25,3.78,79.39,922.08,1090.81,0
BS_202107_BU02_APAC,2021-07-31,BU02,Asia Pacific,USD,53.02,171.58,134.28,100.94,905.4,699.1,0
BS_202107_BU02_EU,2021-07-31,BU02,Europe,USD,59.68,207.86,159.2,129.82,1021.86,755.46,0
BS_202107_BU02_LATAM,2021-07-31,BU02,Latin America,USD,29.03,98.47,73.7,57.81,471.64,346.06,0
BS_202107_BU02_NA,2021-07-31,BU02,North America,USD,94.66,256.46,238.09,170.76,1534.48,1147.61,0
BS_202107_BU03_APAC,2021-07-31,BU03,Asia Pacific,USD,45.69,162.09,65.37,64.47,792.82,633.28,0
BS_202107_BU03_EU,2021-07-31,BU03,Europe,USD,55.88,196.06,81.6,81.15,986.45,735.87,0
BS_202107_BU03_LATAM,2021-07-31,BU03,Latin America,USD,18.77,67.2,26.81,27.9,315.62,236.63,0
BS_202107_BU03_NA,2021-07-31,BU03,North America,USD,111.18,349.92,154.42,146.98,1858.13,1417.13,0
BS_202107_BU04_APAC,2021-07-31,BU04,Asia Pacific,USD,47.16,244.42,210.94,112.71,2012.06,1020.88,0
BS_202107_BU04_EU,2021-07-31,BU04,Europe,USD,57.25,310.48,271.88,152.96,2689.37,1253.28,0
BS_202107_BU04_LATAM,2021-07-31,BU04,Latin America,USD,21.05,113.17,95.32,49.86,839.08,416.16,0
BS_202107_BU04_NA,2021-07-31,BU04,North America,USD,75.42,331.23,334.73,161.47,3094.49,1507.17,0
BS_202107_BU05_APAC,2021-07-31,BU05,Asia Pacific,USD,45.45,93.58,0.64,28.87,271.37,497.1,0
BS_202107_BU05_EU,2021-07-31,BU05,Europe,USD,29.36,58.33,0.41,19.55,180.39,307.7,0
BS_202107_BU05_LATAM,2021-07-31,BU05,Latin America,USD,15.69,32.26,0.21,10.36,90.22,156.04,0
BS_202107_BU05_NA,2021-07-31,BU05,North America,USD,63.61,113.11,0.86,39.68,361.23,639.97,0
BS_202108_BU01_APAC,2021-08-31,BU01,Asia Pacific,USD,68.8,179.66,2.83,59.68,704.93,853.82,0
BS_202108_BU01_EU,2021-08-31,BU01,Europe,USD,52.65,149.62,2.32,53.93,558.79,656.29,0
BS_202108_BU01_LATAM,2021-08-31,BU01,Latin America,USD,24.93,67.92,1.03,23.59,243.09,282.34,0
BS_202108_BU01_NA,2021-08-31,BU01,North America,USD,90.7,219.38,3.81,82.21,924.3,1104.93,0
BS_202108_BU02_APAC,2021-08-31,BU02,Asia Pacific,USD,54.55,179.64,147.91,123.92,907.59,708.13,0
BS_202108_BU02_EU,2021-08-31,BU02,Europe,USD,59.47,206.06,171.22,147.79,1024.03,760.23,0
BS_202108_BU02_LATAM,2021-08-31,BU02,Latin America,USD,30.01,99.66,79.18,67.55,472.8,347.6,0
BS_202108_BU02_NA,2021-08-31,BU02,North America,USD,91.82,258.82,247.85,189.84,1537.28,1150.38,0
BS_202108_BU03_APAC,2021-08-31,BU03,Asia Pacific,USD,46.9,160.58,65.11,64.27,794.77,637.67,0
BS_202108_BU03_EU,2021-08-31,BU03,Europe,USD,55.73,197.97,81.98,87.04,988.77,741.87,0
BS_202108_BU03_LATAM,2021-08-31,BU03,Latin America,USD,19.48,67.77,27.18,28.89,316.29,239.01,0
BS_202108_BU03_NA,2021-08-31,BU03,North America,USD,108.53,361.62,156.19,163.12,1862.49,1430.43,0
BS_202108_BU04_APAC,2021-08-31,BU04,Asia Pacific,USD,48.33,247.7,213.82,136.51,2016.14,1025.2,0
BS_202108_BU04_EU,2021-08-31,BU04,Europe,USD,56.78,300.99,261.24,152.4,2692.54,1257.56,0
BS_202108_BU04_LATAM,2021-08-31,BU04,Latin America,USD,21.67,108.68,91.77,52.83,840.51,416.24,0
BS_202108_BU04_NA,2021-08-31,BU04,North America,USD,73.43,332.42,330.44,193.76,3099.64,1512.21,0
BS_202108_BU05_APAC,2021-08-31,BU05,Asia Pacific,USD,47.04,98.92,0.67,30.85,272.25,504.74,0
BS_202108_BU05_EU,2021-08-31,BU05,Europe,USD,29.47,63.85,0.43,21.52,180.78,312.48,0
BS_202108_BU05_LATAM,2021-08-31,BU05,Latin America,USD,16.34,33.0,0.22,10.71,90.41,157.83,0
BS_202108_BU05_NA,2021-08-31,BU05,North America,USD,62.29,115.32,0.88,41.02,362.16,645.21,0
BS_202109_BU01_APAC,2021-09-30,BU01,Asia Pacific,USD,71.73,193.67,3.08,66.22,706.98,866.34,0
BS_202109_BU01_EU,2021-09-30,BU01,Europe,USD,53.65,160.59,2.45,58.3,560.2,664.86,0
BS_202109_BU01_LATAM,2021-09-30,BU01,Latin America,USD,25.79,72.24,1.1,25.47,243.77,285.74,0
BS_202109_BU01_NA,2021-09-30,BU01,North America,USD,89.64,235.2,4.03,89.97,926.59,1120.47,0
BS_202109_BU02_APAC,2021-09-30,BU02,Asia Pacific,USD,56.4,185.5,166.17,135.45,909.97,714.35,0
BS_202109_BU02_EU,2021-09-30,BU02,Europe,USD,59.95,218.99,188.54,163.0,1026.38,763.53,0
BS_202109_BU02_LATAM,2021-09-30,BU02,Latin America,USD,30.75,104.29,87.37,74.42,473.81,349.14,0
BS_202109_BU02_NA,2021-09-30,BU02,North America,USD,89.86,285.99,282.5,242.75,1540.94,1152.02,0
BS_202109_BU03_APAC,2021-09-30,BU03,Asia Pacific,USD,48.58,167.32,68.75,73.45,796.57,640.84,0
BS_202109_BU03_EU,2021-09-30,BU03,Europe,USD,56.49,209.9,84.91,95.81,990.93,748.23,0
BS_202109_BU03_LATAM,2021-09-30,BU03,Latin America,USD,20.06,70.9,28.47,31.78,317.03,240.73,0
BS_202109_BU03_NA,2021-09-30,BU03,North America,USD,106.55,359.83,156.46,161.67,1865.97,1438.71,0
BS_202109_BU04_APAC,2021-09-30,BU04,Asia Pacific,USD,49.9,266.41,232.71,173.23,2020.05,1029.5,0
BS_202109_BU04_EU,2021-09-30,BU04,Europe,USD,57.16,321.89,278.82,212.52,2695.31,1256.18,0
BS_202109_BU04_LATAM,2021-09-30,BU04,Latin America,USD,22.22,118.71,100.87,80.3,842.22,416.68,1
BS_202109_BU04_NA,2021-09-30,BU04,North America,USD,72.14,361.18,352.49,253.77,3105.04,1521.05,0
BS_202109_BU05_APAC,2021-09-30,BU05,Asia Pacific,USD,49.24,102.56,0.71,32.09,273.14,513.89,0
BS_202109_BU05_EU,2021-09-30,BU05,Europe,USD,30.36,71.73,0.47,24.31,181.33,320.59,0
BS_202109_BU05_LATAM,2021-09-30,BU05,Latin America,USD,16.99,35.89,0.24,11.69,90.63,160.48,0
BS_202109_BU05_NA,2021-09-30,BU05,North America,USD,61.93,126.74,0.94,45.19,363.19,656.81,0
BS_202110_BU01_APAC,2021-10-31,BU01,Asia Pacific,USD,74.64,184.57,2.99,61.77,708.23,873.57,0
BS_202110_BU01_EU,2021-10-31,BU01,Europe,USD,55.52,154.91,2.43,55.65,561.55,670.69,0
BS_202110_BU01_LATAM,2021-10-31,BU01,Latin America,USD,26.28,68.4,1.07,23.64,244.13,286.68,0
BS_202110_BU01_NA,2021-10-31,BU01,North America,USD,89.52,220.9,3.85,83.22,928.06,1127.35,0
BS_202110_BU02_APAC,2021-10-31,BU02,Asia Pacific,USD,58.43,201.2,180.78,139.87,913.09,722.76,0
BS_202110_BU02_EU,2021-10-31,BU02,Europe,USD,61.22,233.76,199.4,162.57,1028.96,766.16,0
BS_202110_BU02_LATAM,2021-10-31,BU02,Latin America,USD,31.23,114.48,96.15,81.83,475.17,351.86,0
BS_202110_BU02_NA,2021-10-31,BU02,North America,USD,89.73,310.9,305.56,245.56,1546.02,1164.9,0
BS_202110_BU03_APAC,2021-10-31,BU03,Asia Pacific,USD,50.25,159.14,66.84,61.86,797.98,642.56,0
BS_202110_BU03_EU,2021-10-31,BU03,Europe,USD,58.07,203.36,83.58,86.18,992.77,751.51,0
BS_202110_BU03_LATAM,2021-10-31,BU03,Latin America,USD,20.38,67.59,27.48,26.7,317.61,241.43,0
BS_202110_BU03_NA,2021-10-31,BU03,North America,USD,106.09,353.2,152.91,151.84,1869.05,1444.28,0
BS_202110_BU04_APAC,2021-10-31,BU04,Asia Pacific,USD,51.51,261.04,231.63,138.77,2024.01,1034.68,0
BS_202110_BU04_EU,2021-10-31,BU04,Europe,USD,58.83,320.3,280.93,186.78,2698.4,1266.31,0
BS_202110_BU04_LATAM,2021-10-31,BU04,Latin America,USD,22.49,109.49,95.61,51.99,843.63,419.54,0
BS_202110_BU04_NA,2021-10-31,BU04,North America,USD,71.79,372.57,354.0,225.97,3110.73,1531.34,0
BS_202110_BU05_APAC,2021-10-31,BU05,Asia Pacific,USD,51.81,105.09,0.73,32.43,273.92,523.76,0
BS_202110_BU05_EU,2021-10-31,BU05,Europe,USD,31.71,72.56,0.495,24.32,181.84,327.64,0
BS_202110_BU05_LATAM,2021-10-31,BU05,Latin America,USD,17.53,37.53,0.25,12.13,90.9,163.8,0
BS_202110_BU05_NA,2021-10-31,BU05,North America,USD,62.4,126.92,0.93,44.59,364.11,667.92,0
BS_202111_BU01_APAC,2021-11-30,BU01,Asia Pacific,USD,77.56,204.41,3.26,68.84,709.65,885.88,0
BS_202111_BU01_EU,2021-11-30,BU01,Europe,USD,58.04,163.86,2.56,59.0,562.7,678.95,0
BS_202111_BU01_LATAM,2021-11-30,BU01,Latin America,USD,26.49,74.16,1.16,26.33,244.63,288.81,0
BS_202111_BU01_NA,2021-11-30,BU01,North America,USD,91.52,240.11,4.17,92.27,930.36,1140.29,0
BS_202111_BU02_APAC,2021-11-30,BU02,Asia Pacific,USD,59.98,230.26,194.16,157.52,916.52,729.14,0
BS_202111_BU02_EU,2021-11-30,BU02,Europe,USD,63.57,267.31,203.98000000000002,196.58,1032.72,771.97,0
BS_202111_BU02_LATAM,2021-11-30,BU02,Latin America,USD,31.24,133.48,104.65,94.25,477.14,354.74,0
BS_202111_BU02_NA,2021-11-30,BU02,North America,USD,91.35,349.93,327.68,275.21,1552.73,1179.6,0
BS_202111_BU03_APAC,2021-11-30,BU03,Asia Pacific,USD,51.74,165.03,69.98,71.46,799.66,643.64,0
BS_202111_BU03_EU,2021-11-30,BU03,Europe,USD,60.3,213.44,87.38,97.83,994.72,755.09,0
BS_202111_BU03_LATAM,2021-11-30,BU03,Latin America,USD,20.44,70.28,28.87,31.76,318.19,241.93,0
BS_202111_BU03_NA,2021-11-30,BU03,North America,USD,107.62,367.0,159.71,174.91,1872.41,1446.77,0
BS_202111_BU04_APAC,2021-11-30,BU04,Asia Pacific,USD,53.0,265.37,238.89,153.27,2027.71,1036.38,0
BS_202111_BU04_EU,2021-11-30,BU04,Europe,USD,61.07,321.34,286.66,191.89,2701.47,1273.52,0
BS_202111_BU04_LATAM,2021-11-30,BU04,Latin America,USD,22.53,117.51,101.28,73.43,845.16,419.32,0
BS_202111_BU04_NA,2021-11-30,BU04,North America,USD,73.15,393.69,372.19,262.12,3116.8,1545.74,0
BS_202111_BU05_APAC,2021-11-30,BU05,Asia Pacific,USD,54.57,123.04,0.84,38.52,275.18,539.29,0
BS_202111_BU05_EU,2021-11-30,BU05,Europe,USD,33.28,77.38,0.52,26.24,182.34,332.3,0
BS_202111_BU05_LATAM,2021-11-30,BU05,Latin America,USD,17.73,39.22,0.26,12.65,91.13,165.72,0
BS_202111_BU05_NA,2021-11-30,BU05,North America,USD,64.26,137.4,1.01,48.83,365.5,681.43,0
BS_202112_BU01_APAC,2021-12-31,BU01,Asia Pacific,USD,79.33,207.95,3.28,68.92,711.63,897.88,0
BS_202112_BU01_EU,2021-12-31,BU01,Europe,USD,60.54,170.15,2.65,61.04,564.32,686.91,0
BS_202112_BU01_LATAM,2021-12-31,BU01,Latin America,USD,26.42,75.39,1.18,26.7,245.28,292.73,0
BS_202112_BU01_NA,2021-12-31,BU01,North America,USD,95.0,243.77,4.26,93.72,933.14,1157.19,0
BS_202112_BU02_APAC,2021-12-31,BU02,Asia Pacific,USD,60.81,238.0,194.12,143.85,920.61,736.41,0
BS_202112_BU02_EU,2021-12-31,BU02,Europe,USD,65.65,265.6,208.56,157.13,1036.62,777.45,0
BS_202112_BU02_LATAM,2021-12-31,BU02,Latin America,USD,30.76,136.51,102.54,80.2,479.16,358.87,0
BS_202112_BU02_NA,2021-12-31,BU02,North America,USD,93.62,342.4,311.68,218.06,1558.93,1187.72,0
BS_202112_BU03_APAC,2021-12-31,BU03,Asia Pacific,USD,52.59,163.67,70.19,67.41,801.45,647.57,0
BS_202112_BU03_EU,2021-12-31,BU03,Europe,USD,62.39,206.57,85.42,85.83,996.24,758.42,0
BS_202112_BU03_LATAM,2021-12-31,BU03,Latin America,USD,20.2,69.12,28.1,27.89,318.71,243.19,0
BS_202112_BU03_NA,2021-12-31,BU03,North America,USD,110.71,356.44,158.84,160.27,1875.84,1452.48,0
