performance_id,period_end,business_unit_id,region,currency_code,revenue_usd_m,cogs_usd_m,operating_expense_usd_m,depreciation_amortization_usd_m,capex_usd_m,effective_tax_rate
FP_202104_BU05_APAC,2021-04-30,BU05,Asia Pacific,USD,62.38,23.96,17.46,2.60,3.43,0.2247
FP_202104_BU05_EU,2021-04-30,BU05,Europe,USD,41.08,16.15,11.64,1.73,2.27,0.2561
FP_202104_BU05_LATAM,2021-04-30,BU05,Latin America,USD,20.24,8.04,5.68,0.86,1.11,0.2716
FP_202104_BU05_NA,2021-04-30,BU05,North America,USD,88.09,34.48,24.93,3.46,4.78,0.2497
FP_202105_BU01_APAC,2021-05-31,BU01,Asia Pacific,USD,111.23,44.35,32.55,5.43,7.52,0.2253
FP_202105_BU01_EU,2021-05-31,BU01,Europe,USD,87.67,35.77,25.42,4.31,6.08,0.2566
FP_202105_BU01_LATAM,2021-05-31,BU01,Latin America,USD,38.29,15.72,11.22,1.88,2.60,0.2735
FP_202105_BU01_NA,2021-05-31,BU01,North America,USD,144.84,58.81,42.50,7.13,9.99,0.2481
FP_202105_BU02_APAC,2021-05-31,BU02,Asia Pacific,USD,114.16,68.53,24.09,5.13,7.45,0.2205
FP_202105_BU02_EU,2021-05-31,BU02,Europe,USD,124.01,75.82,26.02,5.79,8.32,0.2582
FP_202105_BU02_LATAM,2021-05-31,BU02,Latin America,USD,58.91,36.28,12.37,2.67,3.82,0.2725
FP_202105_BU02_NA,2021-05-31,BU02,North America,USD,187.87,114.66,39.87,8.69,13.01,0.2434
FP_202105_BU03_APAC,2021-05-31,BU03,Asia Pacific,USD,81.32,38.77,21.56,4.54,6.74,0.2255
FP_202105_BU03_EU,2021-05-31,BU03,Europe,USD,100.85,49.71,27.23,5.66,8.43,0.2563
FP_202105_BU03_LATAM,2021-05-31,BU03,Latin America,USD,32.04,15.93,8.65,1.81,2.72,0.2753
FP_202105_BU03_NA,2021-05-31,BU03,North America,USD,184.80,90.15,49.13,10.65,15.40,0.2479
FP_202105_BU04_APAC,2021-05-31,BU04,Asia Pacific,USD,129.18,79.60,22.03,7.41,12.67,0.2208
FP_202105_BU04_EU,2021-05-31,BU04,Europe,USD,148.30,93.05,25.78,9.92,13.83,0.2528
FP_202105_BU04_LATAM,2021-05-31,BU04,Latin America,USD,55.44,35.02,9.34,3.09,5.51,0.2694
FP_202105_BU04_NA,2021-05-31,BU04,North America,USD,192.01,120.17,32.86,11.41,19.24,0.2462
FP_202105_BU05_APAC,2021-05-31,BU05,Asia Pacific,USD,64.54,24.69,17.95,2.63,3.52,0.2273
FP_202105_BU05_EU,2021-05-31,BU05,Europe,USD,41.21,16.26,11.71,1.75,2.35,0.2586
FP_202105_BU05_LATAM,2021-05-31,BU05,Latin America,USD,20.40,8.08,5.73,0.88,1.13,0.2687
FP_202105_BU05_NA,2021-05-31,BU05,North America,USD,84.16,33.02,23.92,3.51,4.59,0.2490
FP_202106_BU01_APAC,2021-06-30,BU01,Asia Pacific,USD,117.82,46.81,34.03,5.50,8.00,0.2190
FP_202106_BU01_EU,2021-06-30,BU01,Europe,USD,91.04,37.19,26.80,4.36,6.26,0.2551
FP_202106_BU01_LATAM,2021-06-30,BU01,Latin America,USD,39.77,16.37,11.65,1.90,2.58,0.2726
FP_202106_BU01_NA,2021-06-30,BU01,North America,USD,151.97,61.54,43.69,7.22,10.51,0.2478
FP_202106_BU02_APAC,2021-06-30,BU02,Asia Pacific,USD,111.99,66.90,23.67,5.17,7.38,0.2233
FP_202106_BU02_EU,2021-06-30,BU02,Europe,USD,130.15,79.66,27.05,5.84,8.67,0.2531
FP_202106_BU02_LATAM,2021-06-30,BU02,Latin America,USD,60.95,37.27,12.51,2.69,4.03,0.2644
FP_202106_BU02_NA,2021-06-30,BU02,North America,USD,193.86,117.98,40.41,8.77,12.61,0.2514
FP_202106_BU03_APAC,2021-06-30,BU03,Asia Pacific,USD,82.63,39.26,22.24,4.58,6.94,0.2258
FP_202106_BU03_EU,2021-06-30,BU03,Europe,USD,100.36,49.56,26.98,5.70,8.24,0.2603
FP_202106_BU03_LATAM,2021-06-30,BU03,Latin America,USD,31.98,15.87,8.73,1.83,2.63,0.2668
FP_202106_BU03_NA,2021-06-30,BU03,North America,USD,189.97,92.31,51.01,10.74,16.15,0.2470
FP_202106_BU04_APAC,2021-06-30,BU04,Asia Pacific,USD,120.67,74.34,21.38,7.46,12.24,0.2215
FP_202106_BU04_EU,2021-06-30,BU04,Europe,USD,154.53,96.99,26.23,9.98,14.07,0.2577
FP_202106_BU04_LATAM,2021-06-30,BU04,Latin America,USD,54.77,34.57,9.29,3.11,5.49,0.2658
FP_202106_BU04_NA,2021-06-30,BU04,North America,USD,188.35,117.73,33.16,11.48,18.61,0.2495
FP_202106_BU05_APAC,2021-06-30,BU05,Asia Pacific,USD,,24.66,18.17,2.67,3.49,0.2257
FP_202106_BU05_EU,2021-06-30,BU05,Europe,USD,42.25,16.79,11.97,1.78,2.34,0.2574
FP_202106_BU05_LATAM,2021-06-30,BU05,Latin America,USD,21.48,8.51,6.02,0.89,1.18,0.2716
FP_202106_BU05_NA,2021-06-30,BU05,North America,USD,85.93,33.90,24.32,3.55,4.70,0.2466
FP_202107_BU01_APAC,2021-07-31,BU01,Asia Pacific,USD,110.97,44.19,32.45,5.57,7.50,0.2304
FP_202107_BU01_EU,2021-07-31,BU01,Europe,USD,84.86,34.75,25.19,4.42,5.69,0.2589
FP_202107_BU01_LATAM,2021-07-31,BU01,Latin America,USD,36.79,15.28,11.08,1.92,2.44,0.2722
FP_202107_BU01_NA,2021-07-31,BU01,North America,USD,141.98,57.40,41.52,7.31,9.22,0.2451
FP_202107_BU02_APAC,2021-07-31,BU02,Asia Pacific,USD,112.98,66.94,23.77,5.22,7.17,0.2251
FP_202107_BU02_EU,2021-07-31,BU02,Europe,USD,130.02,79.80,27.11,5.89,8.42,0.2542
FP_202107_BU02_LATAM,2021-07-31,BU02,Latin America,USD,58.74,36.13,12.13,2.72,3.79,0.2744
FP_202107_BU02_NA,2021-07-31,BU02,North America,USD,191.96,116.19,40.47,8.84,12.10,0.2422
FP_202107_BU03_APAC,2021-07-31,BU03,Asia Pacific,USD,83.80,39.86,22.38,4.62,6.74,0.2272
FP_202107_BU03_EU,2021-07-31,BU03,Europe,USD,99.84,49.11,26.76,5.75,8.13,0.2570
FP_202107_BU03_LATAM,2021-07-31,BU03,Latin America,USD,32.74,16.05,8.72,1.84,2.60,0.2701
FP_202107_BU03_NA,2021-07-31,BU03,North America,USD,188.71,91.41,50.81,10.84,15.60,0.2466
FP_202107_BU04_APAC,2021-07-31,BU04,Asia Pacific,USD,116.20,71.66,21.18,7.51,11.22,0.2243
FP_202107_BU04_EU,2021-07-31,BU04,Europe,USD,148.07,93.29,25.73,10.03,13.87,0.2564
FP_202107_BU04_LATAM,2021-07-31,BU04,Latin America,USD,50.14,31.69,8.85,3.13,4.99,0.2719
FP_202107_BU04_NA,2021-07-31,BU04,North America,USD,176.75,111.04,31.99,11.54,16.71,0.2476
FP_202107_BU05_APAC,2021-07-31,BU05,Asia Pacific,USD,65.75,25.17,18.10,2.71,3.57,0.2249
FP_202107_BU05_EU,2021-07-31,BU05,Europe,USD,39.93,15.76,11.40,1.80,2.21,0.2572
FP_202107_BU05_LATAM,2021-07-31,BU05,Latin America,USD,20.81,8.25,5.92,0.90,1.13,0.2700
FP_202107_BU05_NA,2021-07-31,BU05,North America,USD,84.44,33.08,24.02,3.60,4.59,0.2488
FP_202108_BU01_APAC,2021-08-31,BU01,Asia Pacific,USD,110.63,44.00,33.14,5.64,7.29,0.2276
FP_202108_BU01_EU,2021-08-31,BU01,Europe,USD,90.19,36.90,26.25,4.47,5.76,0.2593
FP_202108_BU01_LATAM,2021-08-31,BU01,Latin America,USD,38.16,15.87,11.26,1.95,2.45,0.2729
FP_202108_BU01_NA,2021-08-31,BU01,North America,USD,147.49,59.18,43.62,7.40,9.62,0.2453
FP_202108_BU02_APAC,2021-08-31,BU02,Asia Pacific,USD,120.21,71.22,24.67,5.26,7.45,0.2205
FP_202108_BU02_EU,2021-08-31,BU02,Europe,USD,133.87,82.24,27.29,5.94,8.11,0.2568
FP_202108_BU02_LATAM,2021-08-31,BU02,Latin America,USD,59.71,36.83,12.24,2.74,3.90,0.2714
FP_202108_BU02_NA,2021-08-31,BU02,North America,USD,191.48,116.32,40.00,8.91,11.71,0.2453
FP_202108_BU03_APAC,2021-08-31,BU03,Asia Pacific,USD,82.26,39.14,22.02,4.66,6.61,0.2259
FP_202108_BU03_EU,2021-08-31,BU03,Europe,USD,101.32,49.87,26.95,5.80,8.12,0.2589
FP_202108_BU03_LATAM,2021-08-31,BU03,Latin America,USD,32.65,16.09,8.63,1.86,2.53,0.2700
FP_202108_BU03_NA,2021-08-31,BU03,North America,USD,193.35,94.00,50.88,10.93,15.29,0.2436
FP_202108_BU04_APAC,2021-08-31,BU04,Asia Pacific,USD,119.74,73.89,21.39,7.55,11.63,0.2222
FP_202108_BU04_EU,2021-08-31,BU04,Europe,USD,141.11,88.83,25.40,10.08,13.25,0.2595
FP_202108_BU04_LATAM,2021-08-31,BU04,Latin America,USD,47.76,30.17,8.50,3.15,4.58,0.2702
FP_202108_BU04_NA,2021-08-31,BU04,North America,USD,179.46,112.38,32.46,11.61,16.76,0.2494
FP_202108_BU05_APAC,2021-08-31,BU05,Asia Pacific,USD,69.79,26.87,19.05,2.74,3.62,0.2211
FP_202108_BU05_EU,2021-08-31,BU05,Europe,USD,43.07,17.07,11.86,1.82,2.21,0.2565
FP_202108_BU05_LATAM,2021-08-31,BU05,Latin America,USD,21.46,8.54,6.02,0.91,1.10,0.2674
FP_202108_BU05_NA,2021-08-31,BU05,North America,USD,88.13,34.52,24.95,3.65,4.58,0.2470
FP_202109_BU01_APAC,2021-09-30,BU01,Asia Pacific,USD,120.62,47.84,34.92,5.71,7.76,0.2229
FP_202109_BU01_EU,2021-09-30,BU01,Europe,USD,95.16,38.68,27.25,4.53,5.94,0.2572
FP_202109_BU01_LATAM,2021-09-30,BU01,Latin America,USD,40.72,16.77,11.79,1.97,2.65,0.2723
FP_202109_BU01_NA,2021-09-30,BU01,North America,USD,,63.23,45.80,7.49,9.78,0.2481
FP_202109_BU02_APAC,2021-09-30,BU02,Asia Pacific,USD,122.41,72.98,25.11,5.31,7.69,0.2223
FP_202109_BU02_EU,2021-09-30,BU02,Europe,USD,135.95,83.36,27.77,5.99,8.34,0.2589
FP_202109_BU02_LATAM,2021-09-30,BU02,Latin America,USD,61.03,37.40,12.43,2.76,3.77,0.2733
FP_202109_BU02_NA,2021-09-30,BU02,North America,USD,207.57,126.05,42.64,8.99,12.65,0.2468
FP_202109_BU03_APAC,2021-09-30,BU03,Asia Pacific,USD,84.84,40.52,22.80,4.70,6.50,0.2263
FP_202109_BU03_EU,2021-09-30,BU03,Europe,USD,103.65,50.82,27.52,5.85,8.01,0.2635
FP_202109_BU03_LATAM,2021-09-30,BU03,Latin America,USD,33.26,16.42,8.77,1.87,2.61,0.2668
FP_202109_BU03_NA,2021-09-30,BU03,North America,USD,191.49,92.55,51.17,11.02,14.50,0.2452
FP_202109_BU04_APAC,2021-09-30,BU04,Asia Pacific,USD,129.11,79.64,21.99,7.59,11.50,0.2297
FP_202109_BU04_EU,2021-09-30,BU04,Europe,USD,152.50,95.99,26.04,10.13,12.90,0.2617
FP_202109_BU04_LATAM,2021-09-30,BU04,Latin America,USD,53.66,33.81,8.98,3.17,4.88,0.2695
FP_202109_BU04_NA,2021-09-30,BU04,North America,USD,195.15,121.82,33.49,11.67,17.07,0.2428
FP_202109_BU05_APAC,2021-09-30,BU05,Asia Pacific,USD,71.30,27.27,19.37,2.78,3.67,0.2238
FP_202109_BU05_EU,2021-09-30,BU05,Europe,USD,47.50,18.66,12.92,1.85,2.40,0.2529
FP_202109_BU05_LATAM,2021-09-30,BU05,Latin America,USD,22.66,8.98,6.41,0.92,1.14,0.2753
FP_202109_BU05_NA,2021-09-30,BU05,North America,USD,94.50,36.74,26.26,3.70,4.73,0.2475
FP_202110_BU01_APAC,2021-10-31,BU01,Asia Pacific,USD,115.45,45.96,33.92,5.78,7.03,0.2259
FP_202110_BU01_APAC,2021-10-31,BU01,Asia Pacific,USD,115.45,45.96,33.92,5.78,7.03,0.2259
FP_202110_BU01_EU,2021-10-31,BU01,Europe,USD,93.45,38.21,27.32,4.58,5.93,0.2566
FP_202110_BU01_LATAM,2021-10-31,BU01,Latin America,USD,38.91,16.07,11.35,1.99,2.35,0.2736
FP_202110_BU01_NA,2021-10-31,BU01,North America,USD,150.42,60.58,43.70,7.58,9.05,0.2444
FP_202110_BU02_APAC,2021-10-31,BU02,Asia Pacific,USD,137.17,81.67,26.74,5.35,8.47,0.2251
FP_202110_BU02_EU,2021-10-31,BU02,Europe,USD,148.70,91.04,28.45,6.04,8.62,0.2538
FP_202110_BU02_LATAM,2021-10-31,BU02,Latin America,USD,70.14,43.10,13.75,2.79,4.15,0.2698
FP_202110_BU02_NA,2021-10-31,BU02,North America,USD,234.49,142.59,45.71,9.07,14.15,0.2484
FP_202110_BU03_APAC,2021-10-31,BU03,Asia Pacific,USD,82.89,39.35,21.97,4.74,6.15,0.2266
FP_202110_BU03_EU,2021-10-31,BU03,Europe,USD,102.71,50.40,27.70,5.90,7.74,0.2556
FP_202110_BU03_LATAM,2021-10-31,BU03,Latin America,USD,32.28,15.88,8.70,1.89,2.47,0.2733
FP_202110_BU03_NA,2021-10-31,BU03,North America,USD,192.17,92.56,51.49,11.10,14.18,0.2464
FP_202110_BU04_APAC,2021-10-31,BU04,Asia Pacific,USD,127.35,78.68,22.06,7.64,11.60,0.2240
FP_202110_BU04_EU,2021-10-31,BU04,Europe,USD,156.37,98.35,26.42,10.18,13.27,0.2551
FP_202110_BU04_LATAM,2021-10-31,BU04,Latin America,USD,50.28,31.67,8.94,3.18,4.59,0.2690
FP_202110_BU04_NA,2021-10-31,BU04,North America,USD,198.87,124.71,33.51,11.74,17.43,0.2465
FP_202110_BU05_APAC,2021-10-31,BU05,Asia Pacific,USD,73.65,28.16,20.47,2.82,3.60,0.2247
FP_202110_BU05_EU,2021-10-31,BU05,Europe,USD,48.36,19.15,13.21,1.87,2.38,0.2596
FP_202110_BU05_LATAM,2021-10-31,BU05,Latin America,USD,24.15,9.57,6.69,0.94,1.21,0.2728
FP_202110_BU05_NA,2021-10-31,BU05,North America,USD,95.53,37.22,25.80,3.75,4.67,0.2458
FP_202111_BU01_APAC,2021-11-30,BU01,Asia Pacific,USD,123.45,48.97,35.64,5.85,7.27,0.2264
FP_202111_BU01_EU,2021-11-30,BU01,Europe,USD,95.27,38.92,27.54,4.64,5.79,0.2555
FP_202111_BU01_LATAM,2021-11-30,BU01,Latin America,USD,41.85,17.39,12.30,2.02,2.52,0.2666
FP_202111_BU01_NA,2021-11-30,BU01,North America,USD,161.66,65.04,46.61,7.66,9.96,0.2442
FP_202111_BU02_APAC,2021-11-30,BU02,Asia Pacific,USD,152.26,90.88,27.76,5.41,8.84,0.2235
FP_202111_BU02_EU,2021-11-30,BU02,Europe,USD,169.16,103.79,31.51,6.09,9.85,0.2552
FP_202111_BU02_LATAM,2021-11-30,BU02,Latin America,USD,79.60,49.07,14.83,2.81,4.78,0.2674
FP_202111_BU02_NA,2021-11-30,BU02,North America,USD,262.48,158.82,47.28,9.16,15.87,0.2501
FP_202111_BU03_APAC,2021-11-30,BU03,Asia Pacific,USD,84.24,39.98,22.77,4.78,6.46,0.2259
FP_202111_BU03_EU,2021-11-30,BU03,Europe,USD,104.43,51.06,28.13,5.94,7.89,0.2586
FP_202111_BU03_LATAM,2021-11-30,BU03,Latin America,USD,33.30,16.45,8.73,1.90,2.48,0.2746
FP_202111_BU03_NA,2021-11-30,BU03,North America,USD,196.40,95.24,52.51,11.19,14.55,0.2441
FP_202111_BU04_APAC,2021-11-30,BU04,Asia Pacific,USD,125.53,77.51,22.32,7.68,11.38,0.2228
FP_202111_BU04_EU,2021-11-30,BU04,Europe,USD,151.11,94.87,26.02,10.23,13.30,0.2548
FP_202111_BU04_LATAM,2021-11-30,BU04,Latin America,USD,51.98,32.83,9.18,3.20,4.73,0.2681
FP_202111_BU04_NA,2021-11-30,BU04,North America,USD,203.64,126.78,33.69,11.80,17.87,0.2450
FP_202111_BU05_APAC,2021-11-30,BU05,Asia Pacific,USD,84.54,32.29,22.83,2.86,4.12,0.2231
FP_202111_BU05_EU,2021-11-30,BU05,Europe,USD,50.30,20.05,13.63,1.90,2.40,0.2585
FP_202111_BU05_LATAM,2021-11-30,BU05,Latin America,USD,24.71,9.73,6.91,0.95,1.18,0.2716
FP_202111_BU05_NA,2021-11-30,BU05,North America,USD,101.26,39.54,26.74,3.80,5.19,0.2509
FP_202112_BU01_APAC,2021-12-31,BU01,Asia Pacific,USD,127.94,50.45,37.07,5.92,7.90,0.2192
FP_202112_BU01_EU,2021-12-31,BU01,Europe,USD,102.32,41.57,29.57,4.69,6.31,0.2556
FP_202112_BU01_LATAM,2021-12-31,BU01,Latin America,USD,43.75,18.23,12.62,2.04,2.69,0.2729
FP_202112_BU01_NA,2021-12-31,BU01,North America,USD,168.60,68.27,47.74,7.76,10.54,0.2502
FP_202112_BU02_APAC,2021-12-31,BU02,Asia Pacific,USD,160.53,95.68,29.24,5.46,9.55,0.2257
FP_202112_BU02_EU,2021-12-31,BU02,Europe,USD,168.73,103.18,31.72,6.15,10.05,0.2552
FP_202112_BU02_LATAM,2021-12-31,BU02,Latin America,USD,82.19,50.55,15.07,2.84,4.86,0.2701
FP_202112_BU02_NA,2021-12-31,BU02,North America,USD,258.71,156.52,47.83,9.25,15.45,0.2514
FP_202112_BU03_APAC,2021-12-31,BU03,Asia Pacific,USD,86.15,41.24,22.76,4.82,6.61,0.2308
FP_202112_BU03_EU,2021-12-31,BU03,Europe,USD,102.99,50.36,27.85,5.99,7.51,0.2590
FP_202112_BU03_LATAM,2021-12-31,BU03,Latin America,USD,33.47,16.47,8.98,1.92,2.44,0.2693
FP_202112_BU03_NA,2021-12-31,BU03,North America,USD,197.95,96.44,52.71,11.28,14.71,0.2487
FP_202112_BU04_APAC,2021-12-31,BU04,Asia Pacific,USD,117.44,72.54,21.48,7.72,10.80,0.2223
FP_202112_BU04_EU,2021-12-31,BU04,Europe,USD,130.87,82.16,24.73,10.28,12.95,0.2556
FP_202112_BU04_LATAM,2021-12-31,BU04,Latin America,USD,47.35,29.95,8.75,3.22,4.29,0.2735
FP_202112_BU04_NA,2021-12-31,BU04,North America,USD,181.61,113.64,33.07,11.87,16.31,0.2463
FP_202112_BU05_APAC,2021-12-31,BU05,Asia Pacific,USD,81.20,30.99,22.36,2.90,4.04,0.2257
FP_202112_BU05_EU,2021-12-31,BU05,Europe,USD,52.52,20.88,14.19,1.92,2.58,0.2564
